id,nome,turistiche,storiche,metro,quartiere
2244843070,Casa di Goethe,museum,,,CAMPO MARZIO
2263021094,Domus Augustana - Peristilio,,archaeological_site,,CAMPITELLI
2291425588,Planetario di Roma,attraction,,,EUR
2296913458,Stadio di Domiziano,museum,,,PARIONE
2317242643,Statua della Minerva,,monument,,LA SAPIENZA UNIVERSITA'
2327292450,Monti Tiburtini,,,subway_entrance,MONTI TIBURTINI
2327292453,Monti Tiburtini,,,subway_entrance,MONTI TIBURTINI
2391690485,"Magazzini Repubblicani (II,II,1-2)",,archaeological_site,,PARCO ARCHEOLOGICO OSTIA ANTICA
2391690486,Piazzale della Vittoria,,archaeological_site,,PARCO ARCHEOLOGICO OSTIA ANTICA
2391690555,Mosaici delle terme di Nettuno,attraction,ruins,,PARCO ARCHEOLOGICO OSTIA ANTICA
2391690604,Caupona di Fortunato,,ruins,,PARCO ARCHEOLOGICO OSTIA ANTICA
2396866901,Tracce Domus,,archaeological_site,,CINECITTA' EST
2408805738,Manzoni,,,subway_entrance,ESQUILINO
2408805739,Museo Storico della Liberazione,museum,,,ESQUILINO
2415135651,Caposaldo A,,ruins,,PARCO DELL'APPIA ANTICA
2417128984,Arco di Travertino,,,subway_entrance,COLLI ALBANI
2430641315,Colli Albani - Parco Appia Antica,,,subway_entrance,COLLI ALBANI
2430641316,Colli Albani - Parco Appia Antica,,,subway_entrance,APPIO LATINO - ALBERONE
2430641317,Colli Albani - Parco Appia Antica,,,subway_entrance,COLLI ALBANI
2430641318,Colli Albani - Parco Appia Antica,,,subway_entrance,COLLI ALBANI
2460402810,EUR Fermi,,,subway_entrance,EUR
2460402811,EUR Fermi,,,subway_entrance,EUR
2460402812,EUR Fermi,,,subway_entrance,EUR
2460402813,Santa Maria del Soccorso,,,subway_entrance,MONTE DEL PECORARO
2470611743,Termini Exit T6,,,subway_entrance,ESQUILINO
2518991633,tombe romane,,archaeological_site,,VALLE VESCOVO
